day,hour,branch,n,load_mae_base,load_mae_adaptive,pv_mae_base,pv_mae_adaptive,energy_buffer_kwh,actual_peak_error_kwh,energy_covered,interval_covered,calibration_paths
118,0,historical-frozen,144,88.28749913607804,14.713532050589752,42.00650868055557,31.02841650132277,3435.0672410759007,53.98290141159407,1,133,27
118,0,published-frozen,144,88.28749913607804,14.713532050589752,85.4470085648148,58.67861991707261,6974.345314512072,4086.9475121698824,1,135,27
118,0,published-adjustable,36,41.350607969576735,9.963399647368862,18.12755648148148,12.962403716321639,880.951265342281,458.37058758065643,1,36,27
118,6,published-adjustable,36,121.90401053240738,14.60568832007302,117.21700648148145,80.32629546123674,4446.74141734646,2599.0362524005336,1,36,27
118,12,published-adjustable,36,128.16009537037036,17.13747430613357,131.026499537037,78.11469135863564,802.232679536653,63.20799485853286,1,35,27
118,18,published-adjustable,36,61.73528267195767,17.690133193048638,6.984103240740741,4.333794144656462,201.34555283919656,33.82646277862193,1,34,27
119,0,historical-frozen,144,90.60111402943124,18.101996215814285,47.25203846312833,35.009827166005294,5555.548025252297,678.1914566507406,1,137,27
119,0,published-frozen,144,90.60111402943124,18.101996215814285,93.18618229166665,72.77323760559449,6974.345314512072,6711.876711185336,1,128,27
119,0,published-adjustable,36,40.83790438161381,22.151586629462273,21.242787037037033,15.214922563498057,880.951265342281,386.0296000288602,1,34,27
119,6,published-adjustable,36,125.74043105158732,23.012541334069045,159.45123796296286,120.4749293472851,4446.74141734646,5098.493639918172,0,25,27
119,12,published-adjustable,36,131.43568515211643,16.767579968468716,119.32670925925929,95.9097454557189,683.975173186175,459.88026858935314,1,36,27
119,18,published-adjustable,36,64.39043553240744,18.79279224196973,8.548007870370371,5.883822849363785,201.34555283919656,0.0,1,33,27
120,0,historical-frozen,144,111.56677912533071,33.930504131572455,29.496297929067484,22.280566286375645,2959.791499164471,2275.0274064510254,1,99,27
120,0,published-frozen,144,111.56677912533071,33.930504131572455,92.89920057870368,68.91471272335627,6974.345314512072,5223.238429543519,1,102,27
120,0,published-adjustable,36,49.13386965939156,22.06101929245476,18.304950925925922,13.067497993749603,880.951265342281,589.3585626921162,1,30,27
120,6,published-adjustable,36,116.52937637235452,21.203709853505163,122.06679722222215,94.78969407532723,4446.74141734646,2793.679340337264,1,36,27
120,12,published-adjustable,36,144.08134298941798,25.71226672300902,147.9782601851852,95.56392447867157,683.975173186175,0.0,1,33,27
