开始时间,日计划制定时间,计划负荷预测_kWh,计划光伏预测_kWh,实际负荷_kWh,实际光伏_kWh,实际净负荷_kWh,计划净负荷误差_kWh,执行时负荷预测_kWh,执行时光伏预测_kWh,执行时净负荷误差_kWh,段初SOC_kWh,段末SOC_kWh,实际存入_kWh,实际送达_kWh,弃光_kWh,弃购电_kWh,当段累计备用需求_送达kWh,窗口最大规划备用缺口_kWh,当段规划供电缺口_kWh,母线平衡残差_kWh,SOC递推残差_kWh
2025-02-01T12:50:00,2025-02-01T00:00:00,680.8909316837369,1019.0579261904763,633.3353666666667,1058.98975,-425.65438333333327,-87.48738882659381,639.5948050000001,1019.0579261904763,-46.191262142856885,7110.962132928415,7452.478941989843,341.5168090614286,0.0,46.191262153968125,0.0,8409.989338888889,10658.028119999997,0.0,0.0,2.2737367544323206e-13
2025-02-01T13:00:00,2025-02-01T00:00:00,683.4698778467678,1007.1098214285715,638.6816666666666,1052.225,-413.5433333333333,-89.90338975152952,642.1316166666667,1007.1098214285715,-48.565128571428545,7452.478941989843,7780.959326265558,328.48038427571436,0.0,48.56512858253956,0.0,8096.74243611111,10658.028119999997,0.0,5.684341886080802e-14,2.8421709430404007e-13
2025-02-01T13:10:00,2025-02-01T00:00:00,687.8624022132393,1007.5323095238094,619.3742333333332,1041.0229166666666,-421.64868333333334,-101.97877602276333,646.4831608333334,1007.5323095238094,-60.59953464285729,7780.959326265558,7805.615909812805,24.65658354724645,0.0,394.2524793919484,0.0,7866.458680000002,10658.028119999997,0.0,6.750155989720952e-14,1.0658141036401503e-13
2025-02-01T13:20:00,2025-02-01T00:00:00,673.3027255723761,994.5374047619047,606.5044,1029.2288333333331,-422.7244333333331,-101.48975414380459,628.5319016666667,994.5374047619047,-56.71893023809514,7805.615909812805,8135.020862588519,329.40495277571415,0.0,56.71893024920621,0.0,7767.851346666668,10658.028119999997,0.0,5.684341886080802e-14,1.1368683772161603e-13
2025-02-01T13:30:00,2025-02-01T00:00:00,656.3208978470858,968.9669642857143,607.0133333333333,1017.28125,-410.2679166666667,-97.62185022803806,609.9377583333334,968.9669642857143,-51.23871071428573,8135.020862588519,8262.403639565264,127.38277697674575,0.0,268.73149780361587,0.0,7642.674060000001,10658.028119999997,0.0,0.0,-8.100187187665142e-13
2025-02-01T13:40:00,2025-02-01T00:00:00,673.1976256176933,955.2663714285713,606.3183333333333,998.79405,-392.4757166666667,-110.40697085578859,627.8234491666666,955.2663714285713,-65.03279440476194,8262.403639565264,8550.220408809917,287.816769244654,0.0,72.67930639482893,0.0,7479.675226666668,10658.028119999997,0.0,0.0,-7.958078640513122e-13
2025-02-01T13:50:00,2025-02-01T00:00:00,672.6435904783565,929.2839642857143,624.9272166666666,948.6343499999999,-323.70713333333333,-67.0667595259755,627.2327433333334,929.2839642857143,-21.655912380952373,8550.220408809917,8822.06650765706,271.84609884714285,0.0,21.6559123920635,0.0,7324.0908633333365,10658.028119999997,0.0,5.684341886080802e-14,5.115907697472721e-13
2025-02-01T14:00:00,2025-02-01T00:00:00,649.5867715595163,887.6767857142858,641.645,875.1875,-233.54250000000002,4.5475141547694875,603.0935916666667,887.6767857142858,51.04069404761901,8822.06650765706,8984.48033841555,162.41383075848978,0.0,53.082688046122485,0.0,7174.142363333336,10658.028119999997,0.0,0.0,-7.958078640513122e-13
2025-02-01T14:10:00,2025-02-01T00:00:00,647.6162147164,852.0689857142858,612.7233833333332,815.6234166666666,-202.90003333333334,1.55273766455241,602.1350124999999,852.0689857142858,47.033939880952516,8984.48033841555,9167.090368414549,182.610029999,0.0,0.0,0.0,7029.722113333335,10658.028119999997,0.0,1.1111183084722143e-09,-6.252776074688882e-13
2025-02-01T14:20:00,2025-02-01T00:00:00,633.1977008835918,811.3440119047618,603.26775,769.5365666666667,-166.26881666666668,11.87749435450337,588.8823849999999,811.3440119047618,56.19281023809526,9167.090368414549,9316.732303413548,149.641934999,0.0,0.0,0.0,6928.910196666668,10658.028119999997,0.0,1.1111183084722143e-09,-7.958078640513122e-13
